Digit 1 occurred 96949 times, which is 21 procent.
Digit 2 occurred 63103 times, which is 13 procent.
Digit 3 occurred 48746 times, which is 10 procent.
Digit 4 occurred 42366 times, which is 9 procent.
Digit 5 occurred 42147 times, which is 9 procent.
Digit 6 occurred 33798 times, which is 7 procent.
Digit 7 occurred 31411 times, which is 6 procent.
Digit 8 occurred 30101 times, which is 6 procent.
Digit 9 occurred 27201 times, which is 5 procent.
These invoices follow the Traditional Benford's Law.

Digit 1 occurred 1 times, which is 100 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
CHE0027 follows the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 1 times, which is 100 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
JCM0002 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 1 times, which is 50 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 1 times, which is 50 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
SHE0039 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 1 times, which is 50 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 1 times, which is 50 procent.
Digit 9 occurred 0 times, which is 0 procent.
REC0046 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 1 times, which is 50 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 1 times, which is 50 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
AME0374 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 1 times, which is 50 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 1 times, which is 50 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
GRE0055 does not follow the Traditional Benford's Law.

Digit 1 occurred 1 times, which is 100 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
HEG0000 follows the Traditional Benford's Law.

Digit 1 occurred 1 times, which is 100 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
WIL0087 follows the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 1 times, which is 100 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
WES0191 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 1 times, which is 50 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 1 times, which is 50 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
RAM0005 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 1 times, which is 50 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 1 times, which is 50 procent.
LAW0023 does not follow the Traditional Benford's Law.

Digit 1 occurred 1 times, which is 50 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 1 times, which is 50 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
WIN0035 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 1 times, which is 50 procent.
Digit 6 occurred 1 times, which is 50 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
JIM0010 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 1 times, which is 100 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
CLE0042 does not follow the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 1 times, which is 50 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 1 times, which is 50 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
DEN0020 does not follow the Traditional Benford's Law.

Digit 1 occurred 1 times, which is 100 procent.
Digit 2 occurred 0 times, which is 0 procent.
Digit 3 occurred 0 times, which is 0 procent.
Digit 4 occurred 0 times, which is 0 procent.
Digit 5 occurred 0 times, which is 0 procent.
Digit 6 occurred 0 times, which is 0 procent.
Digit 7 occurred 0 times, which is 0 procent.
Digit 8 occurred 0 times, which is 0 procent.
Digit 9 occurred 0 times, which is 0 procent.
STI0001 follows the Traditional Benford's Law.

Digit 1 occurred 0 times, which is 0 procent.
Digit 2 occurred 0 times, which is 0 procent.
